Model_Type,Horizon,Accuracy,Weighted_F1
logreg,10,0.8620870619211841,0.8765751925723333
logreg,20,0.9438807872987163,0.9422954248658829
logreg,50,0.8415402152127988,0.8339966589170246
logreg,100,0.7401996727859669,0.7272408680101021
