Model_Type,Horizon,Accuracy,Weighted_F1
LSTM,10,0.9721697339281803,0.9719349553105245
LSTM,20,0.9758859936694552,0.9756569792926163
LSTM,50,0.9087610465933276,0.9072803472277601
LSTM,100,0.8228216086871871,0.8167688608190138
