Model_Type,Horizon,Accuracy,Weighted_F1
CNN_LSTM,10,0.9458361365615008,0.9457061769157592
CNN_LSTM,20,0.9483547177632075,0.947557074806971
CNN_LSTM,50,0.7793224886933598,0.7803574026979377
CNN_LSTM,100,0.7870816402152955,0.7815057912856556
